método,média (ms),desvio (ms),desvio (%),custo caminho,tamanho caminho,nós gerados,nós expandidos
Breath First Search,691.91,35.34,5.11,297.63,222,0,31195
Uniform Cost Search,2420.63,74.02,3.06,295.14,222,0,31195
A* (Octile),196.04,9.66,4.93,295.73,223,748,3956
A* (Euclidian),346.74,16.44,4.74,295.14,222,792,7996
Depth First Search,727.82,44.04,6.05,313.39,239,583,11909
